name,latitude,longitude,iconlink
MIT,42.3583,-71.0603,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTVu0PcJxD6gGd_tync0R6JBI_mmIHS1obiZjR49CbUEuT_3RSDSQ
Stanford,37.429553,-122.164725,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9IEVD5tWv5npwbdO0w5-d0cFUhT_71v4fk9VN2IBytM2PYnOU
Berkeley,38.169243,-122.258579,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQUTb3gRow4rjaZ5LjB6-OJHKDL2pbJ44cl1GM1yAhxFnlxgDiS
CalTech,34.141411,-118.1249,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQQm8AOZW-Fp4LrDTyVfq3agYPcyqlO6MDc52Z_2buTa8u2ak3H
Georgia Tech,33.779691,-84.402493,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTA2shVhIS484Wj6Dx9MIdHVxUwIHYgvyGQzimNI4hQ-_rJ4jML-Q
Illinois,39.80901,-88.219619,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSkG7h-Sa1nyTzUGT5OFK9uuGtZkyb-uQKModoVohWKDWKFVbnxrw
Michigan,42.280826,-83.743038,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJRnUwAvVavMfnJW7_sML8i36RKqbsfeCGfmDel3XphgJmNlllEw
Carnegie Mellon,40.443504,-79.941571,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsEvE24lGQaX2y8F7obgYxuxwFTgOrt56DFlVCmH5u775QxAMxsQ
Cornell,42.443961,-76.501881,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6nOkTaQjvvSIAijGy99hqftnNXeL_zB9LYZ8o3fe1BOOR-3x-
Princeton,40.357298,-74.667223,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQFx9XF65TTOy-z2PdGheFfOQmjEnRvJ6V9X1xU3n40P86bVfKzOQ
Purdue,40.425869,-86.908065,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ8dWi1o_7zZ0Lr8uvxtuWXpusGFrmyRl2MT_h04TON2C-GFniN
Texas,30.267153,-97.743061,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTzZvY66m2Oz45UV8XYHJePfuPDaGMcSLFr125Rf8xCk7Cs-gojIg